Country,Activity,Commodity,Sub-commodity,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Australia,production,rare_earth_minerals,Monazite                                          ,14079.0,13282.0,9562.0,15141.0,16260.0,18735.0,14822.0,12813.0,10897.0,13000.0
Australia,production,rare_earth_minerals,Xenotime                                          ,27.0,52.0,46.0,24.0,66.0,46.0,41.0,,,
Brazil,production,rare_earth_minerals,Monazite                                          ,2532.0,2460.0,1814.0,5256.0,3622.0,3953.0,3618.0,4332.0,2817.0,1910.0
China,production,rare_earth_minerals,,,,6000.0,6000.0,8000.0,10000.0,11860.0,15100.0,29640.0,25220.0
India,production,rare_earth_minerals,Monazite                                          ,3395.0,3704.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4300.0
Madagascar,production,rare_earth_minerals,Bastnaesite                                       ,23.0,23.0,23.0,25.0,25.0,9.0,10.0,10.0,5.0,5.0
Malaysia,production,rare_earth_minerals,Monazite                                          ,327.0,320.0,582.0,1034.0,1095.0,5808.0,5959.0,2908.0,2920.0,2948.0
Malaysia,production,rare_earth_minerals,Xenotime                                          ,0.0,24.0,76.0,10.0,68.0,1124.0,145.0,31.0,47.0,131.0
Nigeria,production,rare_earth_minerals,Monazite                                          ,20.0,,,,,,,,,
South Africa,production,rare_earth_minerals,Monazite                                          ,,,,,,,,1200.0,1200.0,1200.0
Soviet Union,production,rare_earth_minerals,Monazite                                          ,,,,,,,,,,1500.0
Sri Lanka,production,rare_earth_minerals,Monazite                                          ,63.0,60.0,368.0,292.0,147.0,200.0,17.0,100.0,200.0,200.0
Thailand,production,rare_earth_minerals,Monazite                                          ,152.0,107.0,162.0,257.0,298.0,663.0,1609.0,458.0,590.0,631.0
Thailand,production,rare_earth_minerals,Xenotime                                          ,52.0,45.0,46.0,38.0,28.0,158.0,28.0,30.0,101.0,35.0
USA,production,rare_earth_minerals,Bastnaesite                                       ,15986.0,17082.0,17501.0,17083.0,25311.0,13428.0,11094.0,16710.0,11533.0,20787.0
USA,production,rare_earth_minerals,Monazite                                          ,700.0,850.0,400.0,400.0,450.0,450.0,450.0,450.0,450.0,450.0
Zaire,production,rare_earth_minerals,Monazite                                          ,51.0,35.0,32.0,15.0,2.0,0.0,7.0,97.0,168.0,175.0
