Country,Activity,Commodity,Sub-commodity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Australia,production,rare_earth_oxides,,,,3640.0,4225.0,1495.0,130.0,0.0,,,
Brazil,production,rare_earth_oxides,,,,1060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,production,rare_earth_oxides,,,,21300.0,22100.0,30700.0,50933.0,60373.0,63250.0,75000.0,80500.0
"Congo, Democratic Republic",production,rare_earth_oxides,,,,33.0,13.0,13.0,13.0,7.0,0.0,,
India,production,rare_earth_oxides,,,,3300.0,3300.0,3300.0,3300.0,3300.0,2100.0,2000.0,1100.0
Madagascar,production,rare_earth_oxides,,,,65.0,65.0,65.0,65.0,0.0,,,
Malaysia,production,rare_earth_oxides,,,,330.0,170.0,180.0,340.0,260.0,300.0,220.0,490.0
Russia,production,rare_earth_oxides,,,,4000.0,500.0,500.0,400.0,400.0,300.0,333.0,500.0
South Africa,production,rare_earth_oxides,,,,280.0,280.0,85.0,0.0,0.0,,,
Sri Lanka,production,rare_earth_oxides,,,,130.0,130.0,0.0,0.0,0.0,,,
Thailand,production,rare_earth_oxides,,,,58.0,143.0,0.0,0.0,0.0,,,
USA,production,rare_earth_oxides,,,,20699.0,17754.0,20664.0,22200.0,20400.0,10000.0,5000.0,5000.0
