Country,Activity,Commodity,Sub-commodity,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Armenia,production,rhenium,,,,,,,,1.0,0.0,0.0,0.0
Canada,production,rhenium,,,,,,,,1.0,1.0,,
Chile,production,rhenium,,,,,,,,28.0,28.0,28.0,25.0
China,production,rhenium,,,,,,,,2.0,1.0,1.0,1.0
Kazakhstan,production,rhenium,,,,,,,,8.0,6.0,6.0,3.0
Peru,production,rhenium,,,,,,,,5.0,5.0,5.0,5.0
Poland,production,rhenium,,,,,,,,2.0,4.0,5.0,4.0
Russia,production,rhenium,,,,,,,,1.0,2.0,2.0,2.0
USA,production,rhenium,,,,,,,,8.0,7.0,8.0,6.0
Uzbekistan,production,rhenium,,,,,,,,1.0,1.0,1.0,0.0
