Country,Activity,Commodity,Sub-commodity,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Afghanistan,production,salt,,13000.0,13000.0,13000.0,13000.0,13000.0,,7998.0,123082.0,158218.0,180384.0
Albania,production,salt,Sea salt                                          ,20596.0,25783.0,22746.0,21448.0,24783.0,47219.0,47000.0,47000.0,47000.0,47000.0
Algeria,production,salt,Brine salt & sea salt                             ,183723.0,195000.0,238000.0,241000.0,241800.0,302700.0,259596.0,183189.0,201603.0,269255.0
Angola,production,salt,,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,35000.0,35000.0,35000.0,70000.0
Argentina,production,salt,,1348514.0,1269814.0,1080328.0,1667829.0,1371792.0,1845833.0,1917656.0,2357674.0,1681313.0,1477532.0
Armenia,production,salt,,30030.0,28766.0,30330.0,31854.0,31625.0,34682.0,37000.0,34800.0,37334.0,29402.0
Australia,production,salt,,8847000.0,9254000.0,9961000.0,10560000.0,11221000.0,12299000.0,11364000.0,10801000.0,11160000.0,11560000.0
Austria,production,salt,Rock salt                                         ,1280.0,1384.0,1491.0,1610.0,1228.0,1497.0,1336.0,1172.0,503.0,50.0
Austria,production,salt,Salt in brine                                     ,640000.0,646000.0,641634.0,723286.0,745670.0,771455.0,764103.0,735724.0,866674.0,1035044.0
Azerbaijan,production,salt,,3801.0,3734.0,5380.0,7645.0,9234.0,11202.0,12000.0,7126.0,7527.0,5466.0
Bahamas,production,salt,,1073413.0,987703.0,1074355.0,1245447.0,1284294.0,1470176.0,1151547.0,578389.0,420207.0,767691.0
Bangladesh,production,salt,,39376.0,39839.0,,585000.0,620000.0,650000.0,880000.0,1100000.0,1349000.0,1368323.0
Belarus,production,salt,,,1052000.0,1369000.0,1543136.0,1883138.0,1839300.0,2075693.0,1665350.0,1866499.0,2089282.0
Benin,production,salt,,,,0.0,,,,,,,
Bonaire,production,salt,,,,,,,,,0.0,0.0,0.0
Bosnia & Herzegovina,production,salt,,325200.0,439106.0,400000.0,179299.0,260456.0,392940.0,416305.0,502487.0,538357.0,556089.0
Botswana,production,salt,,184800.0,178646.0,315259.0,229432.0,208319.0,243945.0,151595.0,165710.0,170994.0,241114.0
Brazil,production,salt,Rock salt                                         ,1448000.0,1208000.0,1274000.0,1420000.0,1442000.0,1559000.0,1622000.0,1621000.0,1528000.0,1443000.0
Brazil,production,salt,Sea salt                                          ,4626000.0,4370000.0,4835000.0,5144000.0,5205968.0,5519618.0,5122197.0,5365091.0,5200000.0,4462000.0
Bulgaria,production,salt,,1700000.0,1931000.0,1800000.0,1882000.0,1900000.0,1900000.0,2000000.0,2000000.0,2100000.0,1300000.0
Burkina Faso,production,salt,,6000.0,6000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,
Burma,production,salt,,35000.0,35000.0,35000.0,35000.0,35000.0,111314.0,83276.0,61475.0,242088.0,408767.0
Cambodia,production,salt,,25000.0,11000.0,72500.0,36000.0,86600.0,90963.0,59000.0,76651.0,78000.0,30000.0
Canada,production,salt,Other salt                                        ,2695422.0,2189514.0,2114417.0,1994490.0,2052333.0,2047653.0,1901453.0,1182968.0,1086787.0,1006375.0
Canada,production,salt,Rock salt                                         ,9298285.0,11503494.0,10158045.0,11957298.0,12071303.0,11448141.0,11504207.0,10679498.0,13323350.0,13644520.0
Cape Verde,production,salt,,2000.0,2000.0,2000.0,1600.0,1600.0,1600.0,1600.0,1600.0,,
Chile,production,salt,,5082911.0,5989416.0,3502613.0,6213473.0,4938928.0,6067583.0,4580471.0,4403743.0,6431029.0,8382215.0
China,production,salt,,35182800.0,34547500.0,36024300.0,34377000.0,40434400.0,46610600.0,56631300.0,61669700.0,66644300.0,66627900.0
Colombia,production,salt,Rock salt                                         ,177687.0,168139.0,180714.0,207486.0,232460.0,215905.0,248245.0,266941.0,245170.0,255332.0
Colombia,production,salt,Sea salt                                          ,282189.0,383529.0,351324.0,244053.0,302101.0,445562.0,389630.0,309557.0,386461.0,356797.0
Costa Rica,production,salt,,37000.0,37000.0,37000.0,37000.0,20000.0,20000.0,20000.0,20000.0,,
