Country,Activity,Commodity,Sub-commodity,2020
Afghanistan,production,salt,,10627.0
Albania,production,salt,Sea salt                                          ,47000.0
Algeria,production,salt,Brine salt & sea salt                             ,160000.0
Angola,production,salt,,105000.0
Argentina,production,salt,,1256963.0
Armenia,production,salt,,28157.0
Australia,production,salt,,11960778.0
Austria,production,salt,Rock salt                                         ,0.0
Austria,production,salt,Salt in brine                                     ,1178489.0
Azerbaijan,production,salt,,4045.0
Bahamas,production,salt,,640000.0
Bangladesh,production,salt,,1566617.0
Belarus,production,salt,,1198290.0
Bolivia,production,salt,,5000.0
Bonaire,production,salt,,400000.0
Bosnia & Herzegovina,production,salt,,947838.0
Botswana,production,salt,,418379.0
Brazil,production,salt,Rock salt                                         ,1500000.0
Brazil,production,salt,Sea salt                                          ,6000000.0
Bulgaria,production,salt,,3400000.0
Burma,production,salt,,16000.0
Cambodia,production,salt,,104000.0
Canada,production,salt,Other salt                                        ,970009.0
Canada,production,salt,Rock salt                                         ,11416072.0
Chile,production,salt,,9574159.0
China,production,salt,,63000000.0
Colombia,production,salt,Rock salt                                         ,266499.0
Colombia,production,salt,Sea salt                                          ,0.0
Croatia,production,salt,,54381.0
Cuba,production,salt,,226000.0
Denmark,production,salt,,580000.0
Djibouti,production,salt,,2500000.0
Dominican Republic,production,salt,,0.0
Ecuador,production,salt,,75000.0
Egypt,production,salt,,1800000.0
El Salvador,production,salt,,100000.0
Eritrea,production,salt,,310000.0
Ethiopia,production,salt,,125000.0
France,production,salt,,4000000.0
Germany,production,salt,Brine salt                                        ,2316705.0
Germany,production,salt,Rock salt                                         ,5202641.0
Germany,production,salt,Salt in brine                                     ,8585169.0
Ghana,production,salt,,300000.0
Greece,production,salt,,160000.0
Guatemala,production,salt,,60000.0
Guinea,production,salt,,15000.0
Honduras,production,salt,,60000.0
India,production,salt,Other salt                                        ,4900000.0
India,production,salt,Rock salt                                         ,486.0
India,production,salt,Sea salt                                          ,25000000.0
Indonesia,production,salt,,1000000.0
Iran,production,salt,,2600000.0
Iraq,production,salt,,205000.0
Israel,production,salt,,275160.0
Italy,production,salt,Rock salt & brine salt                            ,1192956.0
Jamaica,production,salt,,14000.0
Japan,production,salt,,929000.0
Jordan,production,salt,,50000.0
Kazakhstan,production,salt,,1237455.0
Kenya,production,salt,,4703.0
Korea (Rep. of),production,salt,,323470.0
"Korea, Dem. P.R. of",production,salt,,100000.0
Kuwait,production,salt,,58000.0
Laos,production,salt,,3951.0
Lebanon,production,salt,,15000.0
Libya,production,salt,,50000.0
Madagascar,production,salt,,100000.0
Malta,production,salt,,1000.0
Mauritania,production,salt,,700.0
Mauritius,production,salt,,500.0
Mexico,production,salt,,8086044.0
Mongolia,production,salt,,2624.0
Montenegro,production,salt,Sea salt                                          ,10000.0
Morocco,production,salt,,850000.0
Mozambique,production,salt,,170000.0
Namibia,production,salt,,795896.0
Netherlands,production,salt,,5701000.0
New Zealand,production,salt,,60000.0
Nicaragua,production,salt,,30000.0
Oman,production,salt,,11700.0
Pakistan,production,salt,Rock salt                                         ,3700000.0
Pakistan,production,salt,Sea salt                                          ,250000.0
Panama,production,salt,,25259.0
Peru,production,salt,,1030598.0
Philippines,production,salt,,993000.0
Poland,production,salt,Brine salt                                        ,2711000.0
Poland,production,salt,Other salt                                        ,342000.0
Poland,production,salt,Rock salt                                         ,505000.0
Portugal,production,salt,Rock salt                                         ,4217.0
Portugal,production,salt,Sea salt                                          ,92887.0
Romania,production,salt,,1151740.0
Russia,production,salt,,5529600.0
Saudi Arabia,production,salt,Rock salt & brine salt                            ,2780000.0
Senegal,production,salt,,290873.0
Serbia,production,salt,,9000.0
Slovenia,production,salt,,805.0
South Africa,production,salt,,538208.0
Spain,production,salt,Other salt                                        ,119563.0
Spain,production,salt,Rock salt                                         ,2499402.0
Spain,production,salt,Sea salt                                          ,967864.0
Sri Lanka,production,salt,,60076.0
Sudan,production,salt,,237000.0
Switzerland,production,salt,,325000.0
Syria,production,salt,,2500.0
Taiwan,production,salt,,77854.0
Tajikistan,production,salt,,37023.0
Tanzania,production,salt,,83974.0
Thailand,production,salt,Rock salt                                         ,1439877.0
Tunisia,production,salt,,1630000.0
Turkey,production,salt,,7698018.0
Turkmenistan,production,salt,,230000.0
USA,production,salt,Evaporated salt                                   ,7410000.0
USA,production,salt,Rock salt                                         ,15990000.0
USA,production,salt,Salt in brine                                     ,15210000.0
Ukraine,production,salt,,2000000.0
United Kingdom,production,salt,,2312100.0
Uzbekistan,production,salt,,292720.0
Venezuela,production,salt,,300000.0
Vietnam,production,salt,,1205500.0
"Yemen, Republic of",production,salt,,75000.0
