Country,Activity,Commodity,Sub-commodity,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
Australia,production,selenium_refined,,5.0,17.0,36.0,18.0,,,,,,
Belgium,production,selenium_refined,,31.0,55.0,67.0,49.0,75.0,40.0,60.0,60.0,60.0,60.0
Canada,production,selenium_refined,,301.0,326.0,327.0,263.0,334.0,342.0,226.0,410.0,393.0,512.0
Chile,production,selenium_refined,,,,,,18.0,12.0,15.0,8.0,8.0,39.0
Finland,production,selenium_refined,,7.0,6.0,5.0,9.0,10.0,8.0,14.0,20.0,24.0,22.0
Japan,production,selenium_refined,,212.0,238.0,335.0,358.0,334.0,417.0,460.0,456.0,481.0,510.0
Mexico,production,selenium_refined,,126.0,52.0,44.0,39.0,50.0,58.0,58.0,50.0,80.0,75.0
Peru,production,selenium_refined,,7.0,7.0,8.0,8.0,8.0,7.0,9.0,16.0,13.0,18.0
Sweden,production,selenium_refined,,65.0,50.0,42.0,66.0,48.0,67.0,70.0,80.0,56.0,57.0
USA,production,selenium_refined,,456.0,298.0,335.0,361.0,292.0,162.0,182.0,227.0,231.0,266.0
Yugoslavia,production,selenium_refined,,16.0,24.0,41.0,43.0,40.0,43.0,45.0,50.0,53.0,46.0
Zambia,production,selenium_refined,,,,,,,,34.0,16.0,28.0,20.0
