Country,Activity,Commodity,Sub-commodity,2020
Armenia,production,selenium_refined,,20.0
Belgium,production,selenium_refined,,200.0
Canada,production,selenium_refined,,102.0
Chile,production,selenium_refined,,100.0
China,production,selenium_refined,,1400.0
Finland,production,selenium_refined,,84.0
Germany,production,selenium_refined,,300.0
Japan,production,selenium_refined,,750.0
Kazakhstan,production,selenium_refined,,130.0
Mexico,production,selenium_refined,,106.0
Peru,production,selenium_refined,,53.0
Philippines,production,selenium_refined,,70.0
Poland,production,selenium_refined,,74.0
Russia,production,selenium_refined,,190.0
Serbia,production,selenium_refined,,19.0
Sweden,production,selenium_refined,,20.0
USA,production,selenium_refined,,66.0
Uzbekistan,production,selenium_refined,,0.0
