Country,Activity,Commodity,Sub-commodity,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
Australia,production,sillimanite_minerals,Sillimanite                                       ,,,,,751.0,588.0,567.0,550.0,568.0,568.0
Australia,production,sillimanite_minerals,,1183.0,857.0,575.0,684.0,,,,,,
Brazil,production,sillimanite_minerals,Kyanite                                           ,917.0,1000.0,630.0,988.0,752.0,230.0,256.0,17.0,1773.0,1750.0
France,production,sillimanite_minerals,Andalusite                                        ,,8318.0,5280.0,8739.0,9852.0,9708.0,18131.0,26834.0,32572.0,28982.0
India,production,sillimanite_minerals,Andalusite                                        ,,,,,,,,387.0,225.0,0.0
India,production,sillimanite_minerals,Kyanite                                           ,119126.0,63482.0,67897.0,58215.0,45337.0,53474.0,48779.0,42123.0,30897.0,40709.0
India,production,sillimanite_minerals,Sillimanite                                       ,4489.0,4327.0,4046.0,3138.0,2950.0,8278.0,14859.0,15023.0,13471.0,16108.0
Korea (Rep. of),production,sillimanite_minerals,Andalusite                                        ,38.0,74.0,32.0,83.0,115.0,106.0,520.0,115.0,61.0,60.0
Portugal,production,sillimanite_minerals,Andalusite                                        ,190.0,181.0,103.0,100.0,,,,,,
South Africa,production,sillimanite_minerals,Andalusite                                        ,42522.0,44471.0,45857.0,60702.0,64008.0,77149.0,77464.0,113076.0,112040.0,134177.0
South Africa,production,sillimanite_minerals,Sillimanite                                       ,31916.0,17460.0,9476.0,19317.0,13087.0,16911.0,25733.0,15455.0,9540.0,19574.0
Soviet Union,production,sillimanite_minerals,Kyanite                                           ,,,50000.0,75000.0,75000.0,50000.0,50000.0,50000.0,50000.0,50000.0
Spain,production,sillimanite_minerals,Andalusite & kyanite,3050.0,5850.0,5550.0,6728.0,7311.0,5042.0,5541.0,2981.0,5087.0,5355.0
USA,production,sillimanite_minerals,Kyanite                                           ,68000.0,69000.0,70000.0,75000.0,85000.0,90000.0,91000.0,100000.0,100000.0,100000.0
USA,production,sillimanite_minerals,Other,50363.0,49965.0,42083.0,52776.0,,,,,,
Zimbabwe,production,sillimanite_minerals,Kyanite                                           ,,,,,,,,6339.0,1835.0,0.0
