Country,Activity,Commodity,Sub-commodity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Algeria,production,silver_mine,,2000.0,3500.0,3500.0,3000.0,3000.0,2000.0,1600.0,1500.0,1500.0,1500.0
Argentina,production,silver_mine,,82657.0,69959.0,45374.0,42744.0,38032.0,47787.0,50399.0,52550.0,35768.0,73785.0
Armenia,production,silver_mine,,,,,,,,,,,0.0
Australia,production,silver_mine,,1173000.0,1180000.0,1218000.0,1152000.0,1045000.0,939000.0,1013000.0,1106000.0,1473000.0,1715000.0
Bolivia,production,silver_mine,,310543.0,337010.0,282350.0,332768.0,352083.0,425053.0,384384.0,387200.0,403961.0,422540.0
Brazil,production,silver_mine,,60000.0,27000.0,21170.0,20650.0,14760.0,13000.0,12000.0,10000.0,10000.0,10000.0
Bulgaria,production,silver_mine,,54000.0,37300.0,33000.0,30000.0,29000.0,29000.0,48770.0,31530.0,23790.0,58726.0
Burma,production,silver_mine,,6128.0,5257.0,4790.0,3661.0,5101.0,4417.0,3670.0,4040.0,3643.0,2159.0
Canada,production,silver_mine,,1501451.0,1338799.0,1215388.0,895837.0,767842.0,1284757.0,1308758.0,1223953.0,1195943.0,1246357.0
Chile,production,silver_mine,,654603.0,676339.0,1024823.0,970068.0,983005.0,1041098.0,1147002.0,1091311.0,1340199.0,1380711.0
China,production,silver_mine,,150000.0,180000.0,803800.0,840000.0,810000.0,910000.0,1140000.0,1300000.0,1299000.0,1378714.0
Colombia,production,silver_mine,,6631.0,8036.0,8292.0,7328.0,5898.0,5915.0,6407.0,3515.0,5218.0,7593.0
"Congo, Democratic Republic",production,silver_mine,,,,35000.0,10000.0,1000.0,,,,,
Croatia,production,silver_mine,,,,800.0,,,,,,,
Czechoslovakia,production,silver_mine,,26000.0,28000.0,20000.0,,,,,,,
Dominican Republic,production,silver_mine,,22861.0,21955.0,13471.0,1201.0,9209.0,21066.0,17018.0,12407.0,7409.0,3140.0
Ethiopia,production,silver_mine,,,,,,,,,200.0,500.0,689.0
Fiji,production,silver_mine,,775.0,485.0,1255.0,1112.0,1498.0,2078.0,1984.0,2654.0,1787.0,2159.0
Finland,production,silver_mine,,28989.0,26643.0,6277.0,,,,,,,
France,production,silver_mine,,22190.0,27600.0,13300.0,11700.0,2861.0,3507.0,2718.0,2402.0,1027.0,1140.0
German Democratic Rep,production,silver_mine,,20000.0,,,,,,,,,
German Federal Republic,production,silver_mine,,8000.0,,,,,,,,,
Germany,production,silver_mine,,,7200.0,1800.0,1800.0,1800.0,,,,,
Ghana,production,silver_mine,,1100.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,2700.0,3600.0,4000.0
Greece,production,silver_mine,,62600.0,70200.0,61000.0,53500.0,44900.0,33000.0,16700.0,37300.0,44000.0,38976.0
Greenland,production,silver_mine,,9200.0,0.0,,,,,,,,
Honduras,production,silver_mine,,30866.0,42033.0,35353.0,24171.0,27634.0,30202.0,36378.0,42809.0,42898.0,47853.0
India,production,silver_mine,,32200.0,31900.0,46560.0,56096.0,45911.0,35531.0,39689.0,53925.0,55409.0,53641.0
Indonesia,production,silver_mine,,66723.0,67989.0,99904.0,90285.0,107026.0,265212.0,255404.0,279161.0,348974.0,292331.0
Iran,production,silver_mine,,38000.0,47500.0,60000.0,50000.0,60000.0,60000.0,20000.0,20000.0,18800.0,21400.0
"Ireland, Republic of",production,silver_mine,,8800.0,10500.0,13100.0,13000.0,17400.0,13700.0,14700.0,13300.0,10800.0,10400.0
Italy,production,silver_mine,,14000.0,13600.0,12000.0,5000.0,13700.0,13900.0,9100.0,4400.0,2500.0,2000.0
Japan,production,silver_mine,,149920.0,170676.0,178330.0,136886.0,133713.0,100078.0,85115.0,87180.0,94472.0,93441.0
Kazakhstan,production,silver_mine,,,,450000.0,450000.0,408400.0,370993.0,414310.0,389576.0,535987.0,645609.0
Korea (Rep. of),production,silver_mine,,16400.0,3100.0,4723.0,4712.0,8600.0,,,,,
"Korea, Dem. P.R. of",production,silver_mine,,280000.0,300000.0,280000.0,250000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
Laos,production,silver_mine,,,,,,,,,,,0.0
Malaysia,production,silver_mine,,12556.0,13440.0,15325.0,14008.0,13342.0,11079.0,9720.0,9647.0,7285.0,2744.0
Mexico,production,silver_mine,,2351561.0,2223647.0,2317382.0,2415805.0,2334181.0,2324349.0,2527875.0,2674979.0,2686021.0,2466981.0
Mongolia,production,silver_mine,,21200.0,16000.0,18000.0,20000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0
Morocco,production,silver_mine,,241108.0,296075.0,213286.0,309155.0,325500.0,204000.0,199000.0,261000.0,307000.0,277900.0
Namibia,production,silver_mine,,91635.0,91900.0,89000.0,71671.0,62224.0,65847.0,42300.0,41000.0,13980.0,0.0
New Zealand,production,silver_mine,,4914.0,11371.0,22413.0,25797.0,27589.0,27794.0,29340.0,31684.0,22681.0,24308.0
Nicaragua,production,silver_mine,,1030.0,1546.0,2271.0,2358.0,2628.0,1067.0,790.0,1077.0,1946.0,1780.0
North Macedonia,production,silver_mine,,,,16393.0,8650.0,12978.0,10000.0,10000.0,10000.0,10000.0,10000.0
Oman,production,silver_mine,,10300.0,8700.0,6900.0,2900.0,4700.0,,,,,
Panama,production,silver_mine,,,,,,259.0,569.0,1307.0,2178.0,2000.0,2000.0
Papua New Guinea,production,silver_mine,,114543.0,124484.0,95498.0,96095.0,65695.0,65153.0,59036.0,49165.0,59294.0,66542.0
Peru,production,silver_mine,,1761700.0,1816291.0,1584325.0,1587274.0,1768199.0,1928853.0,1976536.0,2090311.0,2024570.0,2231390.0
Philippines,production,silver_mine,,47111.0,39069.0,32785.0,28043.0,29963.0,28483.0,23987.0,20744.0,18220.0,18214.0
Poland,production,silver_mine,,832000.0,899000.0,798000.0,767000.0,1064000.0,1001000.0,1107300.0,1084200.0,1143690.0,1160355.0
Portugal,production,silver_mine,,722.0,43820.0,39454.0,36000.0,31800.0,38600.0,33700.0,33900.0,31880.0,26450.0
Romania,production,silver_mine,,24000.0,17000.0,17000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
Russia,production,silver_mine,,,,535600.0,496600.0,490000.0,480000.0,400000.0,395000.0,353000.0,380000.0
Saudi Arabia,production,silver_mine,,16237.0,16175.0,17200.0,18000.0,17000.0,16900.0,16608.0,17200.0,13843.0,10472.0
Serbia and Montenegro,production,silver_mine,,,,66420.0,25144.0,18298.0,31054.0,68805.0,42640.0,34474.0,7643.0
Solomon Islands,production,silver_mine,,,,,,,3.0,1.0,10.0,1466.0,2138.0
South Africa,production,silver_mine,,160719.0,171555.0,182723.0,192418.0,197767.0,174316.0,168689.0,144005.0,144482.0,151959.0
