Country,Activity,Commodity,Sub-commodity,2020
Algeria,production,silver_mine,,0.0
Argentina,production,silver_mine,,712300.0
Armenia,production,silver_mine,,19500.0
Australia,production,silver_mine,,1337344.0
Azerbaijan,production,silver_mine,,7600.0
Bolivia,production,silver_mine,,929909.0
Brazil,production,silver_mine,,50000.0
Bulgaria,production,silver_mine,,39100.0
Burkina Faso,production,silver_mine,,10012.0
Canada,production,silver_mine,,295051.0
Chile,production,silver_mine,,1575794.0
China,production,silver_mine,,3377810.0
Colombia,production,silver_mine,,19022.0
"Congo, Democratic Republic",production,silver_mine,,3400.0
Cyprus,production,silver_mine,,486.0
Dominican Republic,production,silver_mine,,87889.0
Ecuador,production,silver_mine,,1792.0
Eritrea,production,silver_mine,,65284.0
Ethiopia,production,silver_mine,,1000.0
Fiji,production,silver_mine,,479.0
Finland,production,silver_mine,,54833.0
Georgia,production,silver_mine,,5467.0
Ghana,production,silver_mine,,1000.0
Greece,production,silver_mine,,50300.0
Guatemala,production,silver_mine,,0.0
Honduras,production,silver_mine,,45000.0
India,production,silver_mine,,746377.0
Indonesia,production,silver_mine,,338100.0
Iran,production,silver_mine,,50000.0
"Ireland, Republic of",production,silver_mine,,918.0
Ivory Coast,production,silver_mine,,0.0
Japan,production,silver_mine,,4192.0
Kazakhstan,production,silver_mine,,1035181.0
Korea (Rep. of),production,silver_mine,,5739.0
"Korea, Dem. P.R. of",production,silver_mine,,50000.0
Kyrgyzstan,production,silver_mine,,11700.0
Laos,production,silver_mine,,29232.0
Malaysia,production,silver_mine,,423.0
Mali,production,silver_mine,,2800.0
Mexico,production,silver_mine,,5605000.0
Mongolia,production,silver_mine,,66000.0
Morocco,production,silver_mine,,167000.0
Namibia,production,silver_mine,,6982.0
New Zealand,production,silver_mine,,1393.0
Nicaragua,production,silver_mine,,20186.0
Niger,production,silver_mine,,12.0
North Macedonia,production,silver_mine,,11488.0
Panama,production,silver_mine,,49627.0
Papua New Guinea,production,silver_mine,,130000.0
Peru,production,silver_mine,,2723876.0
Philippines,production,silver_mine,,24024.0
Poland,production,silver_mine,,1423000.0
Portugal,production,silver_mine,,48428.0
Romania,production,silver_mine,,18000.0
Russia,production,silver_mine,,1380000.0
Saudi Arabia,production,silver_mine,,5600.0
Senegal,production,silver_mine,,1000.0
Serbia,production,silver_mine,,12000.0
Slovakia,production,silver_mine,,269.0
South Africa,production,silver_mine,,38154.0
Spain,production,silver_mine,,92751.0
Sudan,production,silver_mine,,1000.0
Sweden,production,silver_mine,,400939.0
Tajikistan,production,silver_mine,,3300.0
Tanzania,production,silver_mine,,13187.0
Thailand,production,silver_mine,,0.0
Turkey,production,silver_mine,,98270.0
USA,production,silver_mine,,986000.0
United Kingdom,production,silver_mine,,100.0
Uzbekistan,production,silver_mine,,260000.0
Zambia,production,silver_mine,,9000.0
Zimbabwe,production,silver_mine,,1500.0
