Country,Activity,Commodity,Sub-commodity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Albania,production,steel_crude,,,,,19000.0,19000.0,,,24000.0,22000.0,15600.0
Algeria,production,steel_crude,,767000.0,838000.0,767600.0,798400.0,807000.0,826728.0,646001.0,394718.0,646621.0,773696.0
Angola,production,steel_crude,,10000.0,10000.0,10000.0,9000.0,9000.0,,,,,
Argentina,production,steel_crude,,3635635.0,2971670.0,2679900.0,2885904.0,3289000.0,3568800.0,4075139.0,4168500.0,4215890.0,3805205.0
Australia,production,steel_crude,,6666000.0,6017000.0,6990000.0,7837000.0,8455000.0,8447000.0,8379000.0,8837000.0,8886000.0,8162000.0
Austria,production,steel_crude,,4241448.0,3897392.0,3600380.0,4148865.0,4398887.0,4919840.0,4442000.0,5181000.0,5282000.0,5202000.0
Azerbaijan,production,steel_crude,,,,385000.0,236000.0,40000.0,,,,,
Bangladesh,production,steel_crude,,75029.0,57520.0,36796.0,7043.0,6054.0,25346.0,20594.0,36000.0,35000.0,
Belarus,production,steel_crude,,,,544000.0,946000.0,880000.0,744000.0,795000.0,1110000.0,1412000.0,1449000.0
Belgium,production,steel_crude,,11719159.0,11334883.0,10337352.0,10118616.0,11265234.0,11539883.0,10751711.0,10717603.0,11403848.0,10910168.0
Bosnia & Herzegovina,production,steel_crude,,,,135000.0,115000.0,115000.0,115000.0,52000.0,72000.0,75000.0,60000.0
Brazil,production,steel_crude,,20566600.0,22617300.0,23934000.0,25207000.0,25746800.0,25076400.0,25237000.0,26152900.0,25759900.0,24996200.0
Bulgaria,production,steel_crude,,2184453.0,1615000.0,1551000.0,1941000.0,2491000.0,2723500.0,2457000.0,2628000.0,2240000.0,1889000.0
Burma,production,steel_crude,,,,,11400.0,16500.0,,,,,
Canada,production,steel_crude,,12280736.0,12987433.0,13933466.0,14387400.0,13896953.0,13996155.0,14637476.0,15458635.0,15832839.0,16136095.0
Chile,production,steel_crude,,771795.0,807069.0,1012758.0,1068828.0,1039658.0,1014116.0,1178266.0,1167492.0,1171409.0,1290512.0
China,production,steel_crude,,66350000.0,71000000.0,80940000.0,89556400.0,92620000.0,95359900.0,101240600.0,108941700.0,114588400.0,123954100.0
Colombia,production,steel_crude,,701406.0,651980.0,656782.0,687432.0,693498.0,713648.0,694741.0,733951.0,635814.0,534038.0
"Congo, Democratic Republic",production,steel_crude,,,,,30000.0,30000.0,,,,,
Croatia,production,steel_crude,,,,101942.0,73815.0,63352.0,45373.0,45752.0,68733.0,104854.0,77213.0
Cuba,production,steel_crude,,255000.0,180130.0,133900.0,90514.0,130912.0,207259.0,230988.0,334600.0,283200.0,302700.0
Czech Republic,production,steel_crude,,,,0.0,6769000.0,7085000.0,7183800.0,6509400.0,6750100.0,6497800.0,5615500.0
Czechoslovakia,production,steel_crude,,14775000.0,12071000.0,11147000.0,,,,,,,
Denmark,production,steel_crude,,610000.0,632000.0,591000.0,603000.0,723000.0,648000.0,739000.0,787000.0,800000.0,727000.0
Dominican Republic,production,steel_crude,,36839.0,39299.0,32628.0,,,,42261.0,82479.0,35874.0,42893.0
Ecuador,production,steel_crude,,,,,,,34641.0,20477.0,43700.0,45784.0,53000.0
Egypt,production,steel_crude,,2247000.0,2556000.0,2524000.0,2811000.0,2622000.0,2642000.0,2618000.0,2717000.0,2870000.0,2627000.0
El Salvador,production,steel_crude,,,,,,,27709.0,41408.0,44868.0,43162.0,33501.0
Estonia,production,steel_crude,,,,,,3000.0,,,,,
