Country,Activity,Commodity,Sub-commodity,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Argentina,production,talc,Pyrophyllite                                      ,5226.0,1026.0,2687.0,4925.0,5012.0,2785.0,2812.0,1260.0,671.0,1310.0
Argentina,production,talc,Steatite                                          ,2930.0,1452.0,1490.0,,,,,,,
Argentina,production,talc,,24575.0,33741.0,24716.0,24766.0,22774.0,15944.0,22353.0,27103.0,26108.0,26658.0
Australia,production,talc,Pyrophyllite                                      ,11002.0,8146.0,9467.0,9569.0,7051.0,7317.0,8588.0,6036.0,4030.0,4000.0
Australia,production,talc,,159962.0,74840.0,143325.0,167009.0,179709.0,132074.0,179467.0,206865.0,201740.0,200000.0
Austria,production,talc,,116708.0,116425.0,117092.0,122128.0,134011.0,131454.0,133319.0,129959.0,132974.0,133078.0
Brazil,production,talc,Agalmatolite                                      ,,,,,,,,,113930.0,114556.0
Brazil,production,talc,Pyrophyllite                                      ,74606.0,178464.0,76624.0,42967.0,64432.0,43401.0,41351.0,51114.0,60070.0,46186.0
Brazil,production,talc,,338450.0,325191.0,308644.0,326145.0,348915.0,343647.0,370700.0,423425.0,339077.0,445329.0
Burma,production,talc,,219.0,146.0,165.0,128.0,128.0,128.0,130.0,,,
Canada,production,talc,,91848.0,82715.0,70523.0,97030.0,122992.0,126860.0,123037.0,160000.0,134000.0,150000.0
Chile,production,talc,,1139.0,665.0,283.0,637.0,422.0,1299.0,2257.0,980.0,1070.0,835.0
China,production,talc,,915000.0,900000.0,950000.0,950000.0,950000.0,1000000.0,1000000.0,1000000.0,1000000.0,2056400.0
Colombia,production,talc,,5900.0,6050.0,6240.0,6639.0,8760.0,8611.0,9013.0,11927.0,10353.0,9196.0
Egypt,production,talc,,4007.0,5723.0,6332.0,5497.0,6406.0,6229.0,5579.0,6105.0,7268.0,6526.0
Finland,production,talc,,302167.0,307915.0,325298.0,318430.0,384265.0,370491.0,321296.0,417687.0,457410.0,473056.0
France,production,talc,,305000.0,313000.0,313000.0,316000.0,320000.0,317000.0,325000.0,329000.0,320000.0,258000.0
German Federal Republic,production,talc,,15499.0,15400.0,14300.0,14300.0,17300.0,20700.0,21900.0,19800.0,19500.0,20500.0
Germany,production,talc,,,,,,,,,,,
Greece,production,talc,,2529.0,2697.0,2166.0,1666.0,1712.0,1725.0,17310.0,9507.0,1587.0,10518.0
Hungary,production,talc,,3492.0,4409.0,3328.0,2440.0,3223.0,1756.0,1550.0,1685.0,1326.0,1041.0
India,production,talc,Pyrophyllite                                      ,35077.0,41681.0,43602.0,63948.0,84570.0,56199.0,58884.0,51724.0,64923.0,94264.0
India,production,talc,Steatite                                          ,349000.0,355000.0,327533.0,284020.0,346038.0,344681.0,378683.0,359448.0,417493.0,414268.0
Iran,production,talc,,,,,5700.0,35400.0,30800.0,31000.0,31000.0,29261.0,11039.0
Italy,production,talc,,165905.0,163708.0,163770.0,161000.0,142727.0,129614.0,151406.0,150718.0,159603.0,145888.0
Japan,production,talc,Pyrophyllite                                      ,1126359.0,1025721.0,977306.0,1064499.0,1073420.0,1023809.0,962302.0,939165.0,949973.0,922213.0
Japan,production,talc,,147916.0,119931.0,105759.0,87692.0,84056.0,79044.0,74903.0,55899.0,49797.0,55665.0
