Country,Activity,Commodity,Sub-commodity,2020
Argentina,production,talc,,12000.0
Australia,production,talc,,131000.0
Austria,production,talc,,123000.0
Bhutan,production,talc,,972.0
Brazil,production,talc,,650000.0
Canada,production,talc,,153293.0
China,production,talc,,1300000.0
Colombia,production,talc,,647.0
Egypt,production,talc,,15000.0
Finland,production,talc,,278331.0
France,production,talc,,320000.0
Guatemala,production,talc,,3151.0
India,production,talc,Pyrophyllite                                      ,39000.0
India,production,talc,Steatite                                          ,1600000.0
Iran,production,talc,,45000.0
Italy,production,talc,,150000.0
Japan,production,talc,Pyrophyllite                                      ,160000.0
Japan,production,talc,,10000.0
Korea (Rep. of),production,talc,Pyrophyllite                                      ,314346.0
Korea (Rep. of),production,talc,,1600.0
Mexico,production,talc,,7000.0
Nepal,production,talc,,2719.0
Nigeria,production,talc,,3500.0
North Macedonia,production,talc,,0.0
Pakistan,production,talc,,160000.0
Peru,production,talc,Pyrophyllite                                      ,20519.0
Peru,production,talc,,17418.0
Portugal,production,talc,,9751.0
Russia,production,talc,,150000.0
Saudi Arabia,production,talc,Pyrophyllite                                      ,48000.0
Slovakia,production,talc,,91670.0
South Africa,production,talc,Pyrophyllite                                      ,92318.0
South Africa,production,talc,,0.0
Spain,production,talc,,2920.0
Sudan,production,talc,,1500.0
Taiwan,production,talc,,0.0
Thailand,production,talc,Pyrophyllite                                      ,31522.0
Thailand,production,talc,,6624.0
Turkey,production,talc,Pyrophyllite                                      ,129290.0
Turkey,production,talc,,14178.0
USA,production,talc,,510000.0
United Kingdom,production,talc,,1386.0
Uruguay,production,talc,,522.0
