Country,Activity,Commodity,Sub-commodity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Australia,production,tantalum_and_niobium_minerals,Columbite-tantalite                               ,573.0,668.0,925.0,,,,,,,
Australia,production,tantalum_and_niobium_minerals,Tantalite                                         ,,,,337.0,262.0,365.0,920.0,1010.0,1150.0,1300.0
Brazil,production,tantalum_and_niobium_minerals,Columbite-tantalite                               ,310.0,290.0,200.0,175.0,175.0,175.0,190.0,180.0,370.0,380.0
Brazil,production,tantalum_and_niobium_minerals,Djalmaite                                         ,9.0,10.0,15.0,11.0,37.0,21.0,8.0,,14.0,23.0
Brazil,production,tantalum_and_niobium_minerals,Pyrochlore                                        ,32217.0,33450.0,30528.0,34065.0,33545.0,39989.0,36474.0,42255.0,51000.0,42100.0
Burundi,production,tantalum_and_niobium_minerals,Columbite-tantalite                               ,,,,,,42.0,37.0,46.0,30.0,42.0
Canada,production,tantalum_and_niobium_minerals,Pyrochlore                                        ,5600.0,5600.0,5500.0,5700.0,5600.0,5800.0,5700.0,5700.0,5600.0,5800.0
Canada,production,tantalum_and_niobium_minerals,Tantalite                                         ,287.0,310.0,160.0,103.0,67.0,67.0,187.0,180.0,190.0,173.0
China,production,tantalum_and_niobium_minerals,Columbite-tantalite                               ,,,,,,34.0,45.0,,175.0,201.0
"Congo, Democratic Republic",production,tantalum_and_niobium_minerals,Columbite-tantalite                               ,,,29.0,20.0,,,,,,
Ethiopia,production,tantalum_and_niobium_minerals,Tantalite                                         ,,,,,30.0,43.0,70.0,80.0,80.0,50.0
Madagascar,production,tantalum_and_niobium_minerals,Columbite                                         ,,,,,,,,,,0.0
Malaysia,production,tantalum_and_niobium_minerals,Struverite                                        ,316.0,401.0,397.0,1077.0,278.0,127.0,265.0,391.0,521.0,675.0
Namibia,production,tantalum_and_niobium_minerals,Tantalite                                         ,4.0,0.0,,0.0,0.0,16.0,,,,
Nigeria,production,tantalum_and_niobium_minerals,Columbite                                         ,45.0,36.0,38.0,16.0,17.0,65.0,57.0,496.0,9.0,
Nigeria,production,tantalum_and_niobium_minerals,Tantalite                                         ,,,,,,,25.0,25.0,25.0,25.0
Rwanda,production,tantalum_and_niobium_minerals,Columbite-tantalite                               ,110.0,200.0,100.0,100.0,6.0,72.0,99.0,269.0,378.0,147.0
Spain,production,tantalum_and_niobium_minerals,Tantalite                                         ,10.0,8.0,8.0,,,,,,,
Thailand,production,tantalum_and_niobium_minerals,Columbite-tantalite                               ,9.0,3.0,,,,,,,,
Thailand,production,tantalum_and_niobium_minerals,Struverite                                        ,122.0,0.0,,,,,,,,
Uganda,production,tantalum_and_niobium_minerals,Columbite-tantalite                               ,,,,,,,,,0.0,0.0
Zaire,production,tantalum_and_niobium_minerals,Columbite-tantalite                               ,36.0,57.0,,,,,,,,
Zimbabwe,production,tantalum_and_niobium_minerals,Columbite-tantalite                               ,35.0,111.0,94.0,48.0,7.0,0.0,0.0,1.0,6.0,3.0
