Country,Activity,Commodity,Sub-commodity,2020
Australia,production,tantalum_and_niobium_minerals,Tantalite                                         ,153.0
Bolivia,production,tantalum_and_niobium_minerals,Tantalite                                         ,40.0
Brazil,production,tantalum_and_niobium_minerals,Columbite-tantalite                               ,12500.0
Brazil,production,tantalum_and_niobium_minerals,Pyrochlore                                        ,56000.0
Burundi,production,tantalum_and_niobium_minerals,Columbite-tantalite                               ,22.0
Canada,production,tantalum_and_niobium_minerals,Nb content                                        ,7000.0
Canada,production,tantalum_and_niobium_minerals,Pyrochlore                                        ,11600.0
China,production,tantalum_and_niobium_minerals,Columbite-tantalite                               ,280.0
"Congo, Democratic Republic",production,tantalum_and_niobium_minerals,Columbite-tantalite                               ,1195.0
Ethiopia,production,tantalum_and_niobium_minerals,Columbite                                         ,5.0
Ethiopia,production,tantalum_and_niobium_minerals,Tantalite                                         ,40.0
Malaysia,production,tantalum_and_niobium_minerals,Struverite                                        ,9.0
Mozambique,production,tantalum_and_niobium_minerals,Tantalite                                         ,209.0
Nigeria,production,tantalum_and_niobium_minerals,Columbite                                         ,1700.0
Nigeria,production,tantalum_and_niobium_minerals,Tantalite                                         ,1.0
Russia,production,tantalum_and_niobium_minerals,Nb content                                        ,617.0
Russia,production,tantalum_and_niobium_minerals,Ta content                                        ,60.0
Rwanda,production,tantalum_and_niobium_minerals,Columbite-tantalite                               ,1201.0
Spain,production,tantalum_and_niobium_minerals,Ta content                                        ,13.0
Uganda,production,tantalum_and_niobium_minerals,Columbite-tantalite                               ,173.0
Zimbabwe,production,tantalum_and_niobium_minerals,Tantalite                                         ,4.0
