Country,Activity,Commodity,Sub-commodity,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
Argentina,production,tin_mine,,1172.0,711.0,559.0,432.0,556.0,538.0,358.0,537.0,362.0,386.0
Australia,production,tin_mine,,8828.0,10034.0,11997.0,10801.0,10481.0,9577.0,10611.0,10634.0,11864.0,12571.0
Bolivia,production,tin_mine,,28900.0,30276.0,32405.0,29720.0,29027.0,30251.0,30355.0,32616.0,30881.0,27648.0
Brazil,production,tin_mine,,3578.0,2279.0,2813.0,3742.0,3555.0,4560.0,5743.0,6287.0,6341.0,7005.0
Burma,production,tin_mine,,254.0,493.0,500.0,580.0,600.0,750.0,400.0,400.0,800.0,1000.0
Cameroon,production,tin_mine,,36.0,36.0,36.0,25.0,25.0,26.0,19.0,10.0,11.0,18.0
Canada,production,tin_mine,,120.0,145.0,160.0,132.0,324.0,319.0,274.0,328.0,360.0,337.0
China,production,tin_mine,,,,,,,22000.0,11000.0,13000.0,14000.0,14000.0
Congo,production,tin_mine,,48.0,48.0,,,,,,,,
Czechoslovakia,production,tin_mine,,,,,,148.0,176.0,180.0,180.0,180.0,180.0
France,production,tin_mine,,337.0,350.0,313.0,317.0,,,,,,
German Democratic Rep,production,tin_mine,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1300.0,1400.0,1500.0,1600.0
Indonesia,production,tin_mine,,19092.0,19767.0,21766.0,22648.0,25709.0,25337.0,24456.0,25926.0,27437.0,29436.0
Japan,production,tin_mine,,793.0,788.0,873.0,811.0,548.0,644.0,766.0,595.0,599.0,661.0
Korea (Rep. of),production,tin_mine,,76.0,76.0,76.0,63.0,24.0,24.0,24.0,24.0,56.0,40.0
Laos,production,tin_mine,,1380.0,671.0,787.0,747.0,612.0,518.0,576.0,600.0,600.0,170.0
Malaysia,production,tin_mine,,73794.0,75445.0,76830.0,72260.0,68122.0,64364.0,63401.0,58703.0,62650.0,62995.0
Mexico,production,tin_mine,,533.0,479.0,354.0,292.0,400.0,378.0,481.0,220.0,73.0,23.0
Morocco,production,tin_mine,,26.0,13.0,12.0,15.0,,,,,,
Namibia,production,tin_mine,,1044.0,964.0,915.0,731.0,781.0,760.0,735.0,994.0,1250.0,1000.0
Niger,production,tin_mine,,74.0,87.0,95.0,93.0,79.0,89.0,84.0,99.0,89.0,73.0
Nigeria,production,tin_mine,,7959.0,7326.0,6731.0,5828.0,5455.0,4652.0,3710.0,3267.0,2970.0,2802.0
Peru,production,tin_mine,,103.0,170.0,126.0,233.0,155.0,255.0,273.0,329.0,458.0,870.0
Portugal,production,tin_mine,,435.0,555.0,528.0,516.0,424.0,375.0,332.0,267.0,282.0,240.0
Rhodesia,production,tin_mine,,600.0,600.0,600.0,600.0,600.0,997.0,914.0,920.0,945.0,969.0
Rwanda,production,tin_mine,,1440.0,1308.0,1440.0,1380.0,1300.0,1250.0,1440.0,1450.0,1400.0,1400.0
South Africa,production,tin_mine,,1980.0,2051.0,2209.0,2628.0,2490.0,2771.0,3257.0,2876.0,2887.0,2697.0
Soviet Union,production,tin_mine,,,,,,,30000.0,16000.0,17000.0,18000.0,18000.0
Spain,production,tin_mine,,443.0,402.0,379.0,523.0,643.0,737.0,720.0,642.0,711.0,496.0
Tanzania,production,tin_mine,,50.0,54.0,40.0,12.0,,,,,,
Thailand,production,tin_mine,,21778.0,21690.0,22072.0,20921.0,20339.0,16406.0,20452.0,24205.0,30186.0,33962.0
USA,production,tin_mine,,72.0,72.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Uganda,production,tin_mine,,122.0,117.0,72.0,44.0,199.0,88.0,120.0,264.0,239.0,37.0
United Kingdom,production,tin_mine,,1772.0,1816.0,3327.0,3600.0,3827.0,4091.0,4015.0,4189.0,3132.0,2708.0
Zaire,production,tin_mine,,6458.0,6440.0,5960.0,5442.0,4675.0,4574.0,3832.0,3662.0,3376.0,2623.0
