Country,Activity,Commodity,Sub-commodity,2020
Australia,production,tin_mine,,8118.0
Bolivia,production,tin_mine,,14709.0
Brazil,production,tin_mine,,16893.0
Burma,production,tin_mine,,36000.0
Burundi,production,tin_mine,,106.0
China,production,tin_mine,,94463.0
Colombia,production,tin_mine,,10.0
"Congo, Democratic Republic",production,tin_mine,,13526.0
India,production,tin_mine,,3.0
Indonesia,production,tin_mine,,52617.0
Korea (Rep. of),production,tin_mine,,1.0
Laos,production,tin_mine,,601.0
Malaysia,production,tin_mine,,2961.0
Mongolia,production,tin_mine,,40.0
Namibia,production,tin_mine,,284.0
Niger,production,tin_mine,,0.0
Nigeria,production,tin_mine,,5848.0
Peru,production,tin_mine,,20647.0
Portugal,production,tin_mine,,104.0
Russia,production,tin_mine,,2559.0
Rwanda,production,tin_mine,,1728.0
Spain,production,tin_mine,,96.0
Tanzania,production,tin_mine,,35.0
Thailand,production,tin_mine,,194.0
Uganda,production,tin_mine,,0.0
United Kingdom,production,tin_mine,,0.0
Vietnam,production,tin_mine,,6798.0
