Country,Activity,Commodity,Sub-commodity,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
Argentina,production,tin_smelter,,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0
Australia,production,tin_smelter,,5211.0,6333.0,7027.0,6904.0,6714.0,5254.0,5603.0,5561.0,5129.0,5423.0
Belgium,production,tin_smelter,,4257.0,3940.0,3923.0,3669.0,3418.0,4562.0,4068.0,3520.0,3295.0,2165.0
Bolivia,production,tin_smelter,,,,,,,,9868.0,13048.0,16181.0,15696.0
Brazil,production,tin_smelter,,3100.0,3424.0,3583.0,4433.0,4850.0,5400.0,6423.0,7421.0,9309.0,10132.0
China,production,tin_smelter,,20000.0,20000.0,20000.0,20000.0,20000.0,22000.0,11000.0,13000.0,14000.0,14000.0
Czechoslovakia,production,tin_smelter,,65.0,80.0,90.0,90.0,120.0,107.0,120.0,120.0,120.0,120.0
German Democratic Rep,production,tin_smelter,,1100.0,1100.0,1100.0,1100.0,1100.0,1300.0,1400.0,1400.0,1500.0,1600.0
German Federal Republic,production,tin_smelter,,1195.0,1169.0,859.0,1038.0,1384.0,1306.0,1449.0,2897.0,3241.0,2488.0
Indonesia,production,tin_smelter,,5190.0,9218.0,12010.0,14632.0,15065.0,17826.0,23322.0,24005.0,25830.0,27790.0
Japan,production,tin_smelter,,1375.0,1297.0,1349.0,1438.0,1327.0,1219.0,1145.0,1271.0,1140.0,1252.0
Malaysia,production,tin_smelter,,92107.0,87095.0,91001.0,82468.0,84394.0,83070.0,78017.0,66305.0,71953.0,73068.0
Mexico,production,tin_smelter,,960.0,960.0,960.0,960.0,1000.0,1000.0,800.0,1000.0,1000.0,1291.0
Morocco,production,tin_smelter,,12.0,12.0,12.0,12.0,,,,,,
Netherlands,production,tin_smelter,,5937.0,837.0,,,,,2000.0,2100.0,1625.0,1720.0
Nigeria,production,tin_smelter,,8069.0,7348.0,6744.0,5983.0,5574.0,4677.0,3667.0,3315.0,2984.0,2858.0
Portugal,production,tin_smelter,,392.0,498.0,606.0,524.0,450.0,409.0,319.0,588.0,490.0,445.0
Rhodesia,production,tin_smelter,,600.0,600.0,600.0,600.0,600.0,600.0,800.0,880.0,912.0,949.0
South Africa,production,tin_smelter,,613.0,714.0,779.0,874.0,854.0,780.0,683.0,582.0,637.0,819.0
Soviet Union,production,tin_smelter,,,,,,,30000.0,17000.0,17500.0,18000.0,18000.0
Spain,production,tin_smelter,,3908.0,4135.0,4761.0,5816.0,5862.0,5249.0,4359.0,5343.0,3255.0,3529.0
Thailand,production,tin_smelter,,22040.0,21742.0,22281.0,22927.0,19827.0,16630.0,20337.0,23102.0,28945.0,33058.0
USA,production,tin_smelter,,4540.0,4450.0,4369.0,4877.0,6096.0,6500.0,5700.0,6724.0,5900.0,4600.0
United Kingdom,production,tin_smelter,,22035.0,23153.0,21333.0,20404.0,11948.0,11585.0,11161.0,10458.0,8445.0,8025.0
Zaire,production,tin_smelter,,1396.0,1350.0,1400.0,969.0,685.0,647.0,478.0,663.0,496.0,458.0
