Country,Activity,Commodity,Sub-commodity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Australia,production,titanium_minerals,Ilmenite                                          ,1602000.0,1476000.0,1787000.0,1795000.0,1777000.0,1980000.0,2030000.0,2233000.0,2413000.0,1936000.0
Australia,production,titanium_minerals,Leucoxene                                         ,19000.0,20000.0,20000.0,21000.0,33000.0,31000.0,30000.0,32000.0,32000.0,33000.0
Australia,production,titanium_minerals,Rutile                                            ,245000.0,193000.0,183000.0,187000.0,233000.0,204000.0,183000.0,233000.0,244000.0,182000.0
Brazil,production,titanium_minerals,Ilmenite                                          ,101264.0,69064.0,77104.0,101255.0,97439.0,102125.0,125520.0,184655.0,115444.0,234209.0
Brazil,production,titanium_minerals,Rutile                                            ,2350.0,1094.0,1826.0,1744.0,1911.0,1985.0,1771.0,2196.0,2323.0,3388.0
Canada,production,titanium_minerals,Ilmenite                                          ,3200000.0,2000000.0,2200000.0,2100000.0,2200000.0,2200000.0,2500000.0,2400000.0,2700000.0,2500000.0
China,production,titanium_minerals,Ilmenite                                          ,184000.0,229000.0,304900.0,226000.0,216500.0,,,218200.0,58200.0,400000.0
Egypt,production,titanium_minerals,Ilmenite                                          ,,,,0.0,0.0,0.0,57000.0,124180.0,125000.0,130000.0
India,production,titanium_minerals,Ilmenite                                          ,280000.0,311537.0,300000.0,320000.0,297444.0,298369.0,231513.0,332727.0,377907.0,388271.0
India,production,titanium_minerals,Rutile                                            ,11000.0,13635.0,10000.0,13900.0,13438.0,12963.0,9305.0,14365.0,16039.0,17505.0
Korea (Rep. of),production,titanium_minerals,Ilmenite                                          ,,,362791.0,452175.0,383051.0,322637.0,389992.0,344808.0,241865.0,203413.0
Malaysia,production,titanium_minerals,Ilmenite                                          ,530237.0,336347.0,337744.0,278950.0,116696.0,151680.0,244642.0,167504.0,124689.0,127695.0
Norway,production,titanium_minerals,Ilmenite                                          ,788522.0,615416.0,708149.0,713113.0,826391.0,857747.0,758711.0,558000.0,589534.0,579623.0
Portugal,production,titanium_minerals,Ilmenite                                          ,43.0,9.0,,,,,,,,
Russia,production,titanium_minerals,Ilmenite                                          ,,,,14000.0,7000.0,,,,,
Sierra Leone,production,titanium_minerals,Ilmenite                                          ,54639.0,60371.0,60331.0,64400.0,53500.0,0.0,0.0,0.0,,
Sierra Leone,production,titanium_minerals,Rutile                                            ,144401.0,154800.0,149000.0,150332.0,144312.0,,,,0.0,0.0
South Africa,production,titanium_minerals,Ilmenite                                          ,1142000.0,1374000.0,1502000.0,1516000.0,1314000.0,1680000.0,1700000.0,1853000.0,1836000.0,1870000.0
South Africa,production,titanium_minerals,Rutile                                            ,64056.0,75000.0,75000.0,100000.0,90000.0,90000.0,110000.0,115000.0,115000.0,123000.0
South Africa,production,titanium_minerals,,,,,,,,,,,
Soviet Union,production,titanium_minerals,Ilmenite                                          ,430000.0,400000.0,,,,,,,,
Soviet Union,production,titanium_minerals,Rutile                                            ,9500.0,9000.0,,,,,,,,
Sri Lanka,production,titanium_minerals,Ilmenite                                          ,74350.0,62823.0,35868.0,71235.0,65458.0,54311.0,66456.0,22533.0,37148.0,
Sri Lanka,production,titanium_minerals,Rutile                                            ,7580.0,3085.0,2741.0,2643.0,2471.0,2884.0,3532.0,2968.0,1930.0,
Thailand,production,titanium_minerals,Ilmenite                                          ,10554.0,17071.0,2922.0,20715.0,1600.0,,,,,
Thailand,production,titanium_minerals,Leucoxene                                         ,120.0,4.0,45.0,106.0,77.0,,,,,
Thailand,production,titanium_minerals,Rutile                                            ,,,281.0,87.0,49.0,,,,,
USA,production,titanium_minerals,Ilmenite                                          ,240000.0,250000.0,270000.0,300000.0,,,,,,
USA,production,titanium_minerals,Rutile                                            ,29000.0,27000.0,29000.0,25000.0,,,,,,
USA,production,titanium_minerals,,,,,,,,400000.0,800000.0,800000.0,600000.0
Ukraine,production,titanium_minerals,Ilmenite                                          ,,,450000.0,450000.0,530000.0,359000.0,,,507435.0,536542.0
Ukraine,production,titanium_minerals,Rutile                                            ,,,60000.0,60000.0,80000.0,112000.0,,,111923.0,110951.0
Vietnam,production,titanium_minerals,Ilmenite                                          ,,,,,,50000.0,8000.0,97000.0,130000.0,120000.0
