Country,Activity,Commodity,Sub-commodity,2020
Australia,production,titanium_minerals,Ilmenite                                          ,634165.0
Australia,production,titanium_minerals,Leucoxene                                         ,79058.0
Australia,production,titanium_minerals,Rutile                                            ,156389.0
Brazil,production,titanium_minerals,Ilmenite                                          ,70000.0
Canada,production,titanium_minerals,Ilmenite                                          ,1900000.0
China,production,titanium_minerals,Ilmenite                                          ,4200000.0
India,production,titanium_minerals,Ilmenite                                          ,265000.0
India,production,titanium_minerals,Rutile                                            ,11000.0
Kazakhstan,production,titanium_minerals,,17000.0
Kenya,production,titanium_minerals,Ilmenite                                          ,334900.0
Kenya,production,titanium_minerals,Rutile                                            ,72836.0
Korea (Rep. of),production,titanium_minerals,Ilmenite                                          ,287895.0
Madagascar,production,titanium_minerals,Ilmenite                                          ,424000.0
Madagascar,production,titanium_minerals,Rutile                                            ,6000.0
Malaysia,production,titanium_minerals,Ilmenite                                          ,2548.0
Malaysia,production,titanium_minerals,Rutile                                            ,5136.0
Mozambique,production,titanium_minerals,Ilmenite                                          ,756000.0
Mozambique,production,titanium_minerals,Rutile                                            ,5957.0
Norway,production,titanium_minerals,Ilmenite                                          ,630000.0
Russia,production,titanium_minerals,Ilmenite                                          ,0.0
Senegal,production,titanium_minerals,Ilmenite                                          ,505000.0
Senegal,production,titanium_minerals,Leucoxene                                         ,9500.0
Sierra Leone,production,titanium_minerals,Ilmenite                                          ,45773.0
Sierra Leone,production,titanium_minerals,Rutile                                            ,116569.0
South Africa,production,titanium_minerals,Ilmenite                                          ,1000000.0
South Africa,production,titanium_minerals,Rutile                                            ,100000.0
Sri Lanka,production,titanium_minerals,Ilmenite                                          ,18016.0
Sri Lanka,production,titanium_minerals,Rutile                                            ,1311.0
Thailand,production,titanium_minerals,Ilmenite                                          ,153.0
USA,production,titanium_minerals,,100000.0
Ukraine,production,titanium_minerals,Ilmenite                                          ,773093.0
Ukraine,production,titanium_minerals,Rutile                                            ,110500.0
Vietnam,production,titanium_minerals,Ilmenite                                          ,230400.0
