Country,Activity,Commodity,Sub-commodity,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Argentina,production,tungsten_mine,,35.0,11.0,17.0,41.0,37.0,17.0,20.0,,,
Australia,production,tungsten_mine,,3575.0,3517.0,2618.0,2015.0,1733.0,1970.0,1600.0,1150.0,1281.0,1371.0
Austria,production,tungsten_mine,,2150.0,1322.0,1699.0,1405.0,1911.0,1967.0,1454.0,970.0,950.0,1177.0
Bolivia,production,tungsten_mine,,2664.0,2735.0,2534.0,2449.0,1893.0,1643.0,1094.0,638.0,924.0,1118.0
Brazil,production,tungsten_mine,,1104.0,1574.0,1524.0,1026.0,1037.0,1090.0,875.0,800.0,738.0,679.0
Burma,production,tungsten_mine,,848.0,845.0,865.0,950.0,1114.0,945.0,715.0,493.0,307.0,233.0
Canada,production,tungsten_mine,,3178.0,1995.0,2403.0,1220.0,3328.0,3197.0,1959.0,,,
China,production,tungsten_mine,,15000.0,13500.0,13000.0,13000.0,14000.0,17000.0,19000.0,20000.0,25000.0,30360.0
Czechoslovakia,production,tungsten_mine,,80.0,50.0,50.0,50.0,50.0,50.0,50.0,45.0,50.0,50.0
France,production,tungsten_mine,,577.0,591.0,724.0,800.0,745.0,735.0,987.0,,,
India,production,tungsten_mine,,23.0,20.0,28.0,16.0,30.0,28.0,23.0,26.0,19.0,12.0
Japan,production,tungsten_mine,,700.0,548.0,854.0,820.0,795.0,463.0,482.0,216.0,226.0,252.0
Korea (Rep. of),production,tungsten_mine,,2737.0,2739.0,2421.0,2480.0,2703.0,2580.0,2455.0,2375.0,2029.0,1701.0
"Korea, Dem. P.R. of",production,tungsten_mine,,2200.0,2200.0,2200.0,1000.0,1000.0,1000.0,1000.0,500.0,500.0,500.0
Malaysia,production,tungsten_mine,,35.0,35.0,37.0,49.0,23.0,21.0,4.0,,,
Mexico,production,tungsten_mine,,266.0,263.0,194.0,186.0,274.0,282.0,294.0,213.0,206.0,170.0
Mongolia,production,tungsten_mine,,,1000.0,1500.0,1500.0,1500.0,1500.0,1500.0,1000.0,1000.0,1000.0
Namibia,production,tungsten_mine,,50.0,,,,,,,,,
New Zealand,production,tungsten_mine,,4.0,10.0,7.0,6.0,7.0,7.0,0.0,,,
Peru,production,tungsten_mine,,581.0,521.0,682.0,762.0,699.0,771.0,742.0,259.0,654.0,974.0
Portugal,production,tungsten_mine,,1580.0,1395.0,1359.0,1186.0,1509.0,1765.0,1657.0,1209.0,1379.0,1375.0
Rwanda,production,tungsten_mine,,323.0,248.0,286.0,204.0,482.0,310.0,24.0,85.0,41.0,105.0
Soviet Union,production,tungsten_mine,,8700.0,8850.0,9000.0,9100.0,9100.0,9200.0,9200.0,9200.0,9200.0,9300.0
Spain,production,tungsten_mine,,446.0,437.0,545.0,517.0,565.0,458.0,495.0,80.0,81.0,57.0
Sweden,production,tungsten_mine,,364.0,394.0,423.0,460.0,485.0,402.0,360.0,336.0,352.0,80.0
Thailand,production,tungsten_mine,,1615.0,1210.0,856.0,563.0,742.0,586.0,475.0,652.0,605.0,560.0
Turkey,production,tungsten_mine,,219.0,284.0,404.0,291.0,394.0,448.0,475.0,384.0,393.0,350.0
USA,production,tungsten_mine,,2754.0,3605.0,1521.0,980.0,1203.0,996.0,780.0,34.0,350.0,400.0
Uganda,production,tungsten_mine,,5.0,1.0,7.0,7.0,15.0,18.0,19.0,30.0,75.0,32.0
United Kingdom,production,tungsten_mine,,40.0,40.0,,,,,,0.0,27.0,28.0
Zaire,production,tungsten_mine,,69.0,46.0,38.0,44.0,30.0,17.0,27.0,21.0,20.0,16.0
Zimbabwe,production,tungsten_mine,,90.0,60.0,35.0,23.0,55.0,14.0,2.0,,,
