Country,Activity,Commodity,Sub-commodity,2020
Australia,production,tungsten_mine,,5.0
Austria,production,tungsten_mine,,896.0
Bolivia,production,tungsten_mine,,1030.0
Brazil,production,tungsten_mine,,400.0
Burma,production,tungsten_mine,,107.0
Burundi,production,tungsten_mine,,165.0
China,production,tungsten_mine,,76000.0
Colombia,production,tungsten_mine,,0.0
"Congo, Democratic Republic",production,tungsten_mine,,128.0
"Korea, Dem. P.R. of",production,tungsten_mine,,1100.0
Kyrgyzstan,production,tungsten_mine,,100.0
Mexico,production,tungsten_mine,,15.0
Mongolia,production,tungsten_mine,,42.0
Nigeria,production,tungsten_mine,,13.0
Portugal,production,tungsten_mine,,535.0
Russia,production,tungsten_mine,,2692.0
Rwanda,production,tungsten_mine,,956.0
Spain,production,tungsten_mine,,184.0
Thailand,production,tungsten_mine,,70.0
Uganda,production,tungsten_mine,,9.0
United Kingdom,production,tungsten_mine,,0.0
Uzbekistan,production,tungsten_mine,,2.0
Vietnam,production,tungsten_mine,,8066.0
Zimbabwe,production,tungsten_mine,,0.0
