Country,Activity,Commodity,Sub-commodity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Argentina,production,vermiculite,,10.0,190.0,,,,,,,903.0,2800.0
Australia,production,vermiculite,,,,,,,,5000.0,3327.0,7589.0,10490.0
Brazil,production,vermiculite,,31645.0,24680.0,11651.0,14545.0,17233.0,18806.0,21999.0,22248.0,31658.0,40045.0
China,production,vermiculite,,,,,,,,,,,40000.0
Egypt,production,vermiculite,,28.0,157.0,217.0,457.0,1659.0,,140.0,54.0,50.0,
India,production,vermiculite,,1769.0,1768.0,1455.0,2322.0,1458.0,1798.0,3755.0,4699.0,4274.0,3123.0
Japan,production,vermiculite,,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0
Kenya,production,vermiculite,,3440.0,2300.0,2279.0,1961.0,1113.0,457.0,734.0,1418.0,353.0,164.0
Mexico,production,vermiculite,,132.0,117.0,,,,,,,,
Russia,production,vermiculite,,,,60000.0,50000.0,40000.0,40000.0,30000.0,25000.0,25000.0,25000.0
South Africa,production,vermiculite,,220311.0,214656.0,170399.0,213847.0,223478.0,221748.0,196000.0,211001.0,221331.0,217820.0
Soviet Union,production,vermiculite,,95000.0,85000.0,,,,,,,,
USA,production,vermiculite,,209000.0,180000.0,190000.0,190000.0,177000.0,171000.0,170000.0,,,175000.0
Uganda,production,vermiculite,,,,,,,,,0.0,0.0,0.0
Zimbabwe,production,vermiculite,,2135.0,2319.0,4300.0,5032.0,8184.0,13742.0,10249.0,14841.0,14804.0,12844.0
