Country,Activity,Commodity,Sub-commodity,2020
Argentina,production,vermiculite,,0.0
Brazil,production,vermiculite,,50000.0
Bulgaria,production,vermiculite,,10000.0
China,production,vermiculite,,15000.0
India,production,vermiculite,,1260.0
Kenya,production,vermiculite,,400.0
Mexico,production,vermiculite,,148.0
Russia,production,vermiculite,,9000.0
South Africa,production,vermiculite,,118223.0
Turkey,production,vermiculite,,19230.0
USA,production,vermiculite,,100000.0
Uganda,production,vermiculite,,14170.0
Zimbabwe,production,vermiculite,,30000.0
