Country,Activity,Commodity,Sub-commodity,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Algeria,production,zinc_mine,,,,,0.0,0.0,50.0,314.0,500.0,500.0,1000.0
Argentina,production,zinc_mine,,32600.0,38000.0,42000.0,47650.0,47981.0,33787.0,26680.0,26800.0,23980.0,16407.0
Armenia,production,zinc_mine,,7468.0,9353.0,9729.0,9570.0,8825.0,6791.0,4735.0,5784.0,6497.0,6743.0
Australia,production,zinc_mine,,1475045.0,1509660.0,1536109.0,1510738.0,1505968.0,1610004.0,884826.0,852164.0,1146781.0,1337321.0
Bolivia,production,zinc_mine,,411409.0,427129.0,389911.0,407332.0,450542.0,443172.0,489293.0,527206.0,519630.0,527521.0
Bosnia & Herzegovina,production,zinc_mine,,5514.0,6862.0,7600.0,9102.0,7837.0,8946.0,9670.0,10235.0,10603.0,6440.0
Brazil,production,zinc_mine,,211203.0,197840.0,164258.0,152147.0,169766.0,157000.0,158200.0,156500.0,169800.0,163400.0
Bulgaria,production,zinc_mine,,9904.0,10977.0,12116.0,13902.0,11872.0,10783.0,11415.0,10886.0,11367.0,14570.0
Burkina Faso,production,zinc_mine,,0.0,0.0,0.0,32215.0,64976.0,68804.0,81422.0,92731.0,99162.0,95611.0
Burma,production,zinc_mine,,8600.0,9200.0,8000.0,4800.0,3030.0,31025.0,72640.0,12560.0,11700.0,39000.0
Canada,production,zinc_mine,,649065.0,622600.0,641134.0,426545.0,352125.0,289584.0,301210.0,346776.0,304964.0,323019.0
Chile,production,zinc_mine,,27662.0,36602.0,26762.0,29759.0,45094.0,48071.0,42870.0,29008.0,26810.0,5620.0
China,production,zinc_mine,,3842200.0,4050000.0,4859100.0,5187747.0,5118394.0,4748877.0,4710500.0,3868500.0,3721100.0,3700000.0
Congo,production,zinc_mine,,,,,,,,1.0,4.0,1.0,5.0
"Congo, Democratic Republic",production,zinc_mine,,9223.0,14758.0,10572.0,12144.0,12737.0,12675.0,12587.0,12377.0,1129.0,1607.0
Cuba,production,zinc_mine,,,,,,0.0,0.0,0.0,2900.0,42000.0,57800.0
Dominican Republic,production,zinc_mine,,,0.0,0.0,0.0,0.0,4655.0,3636.0,3920.0,4038.0,5527.0
Eritrea,production,zinc_mine,,,,0.0,0.0,0.0,0.0,40900.0,95400.0,125000.0,121260.0
Finland,production,zinc_mine,,55562.0,64115.0,52200.0,41124.0,46100.0,25332.0,45852.0,66284.0,85335.0,68153.0
Greece,production,zinc_mine,,18400.0,21200.0,20800.0,22549.0,23085.0,13174.0,18866.0,17300.0,21456.0,22298.0
Guatemala,production,zinc_mine,,0.0,0.0,442.0,1221.0,13394.0,14810.0,14975.0,6100.0,0.0,0.0
Honduras,production,zinc_mine,,33839.0,26000.0,26000.0,25000.0,30000.0,24988.0,14579.0,20436.0,28421.0,29223.0
India,production,zinc_mine,,729886.0,726518.0,759527.0,769927.0,766730.0,740737.0,755778.0,772600.0,728402.0,723412.0
Indonesia,production,zinc_mine,,,,,1200.0,700.0,19300.0,8500.0,13900.0,20100.0,26200.0
Iran,production,zinc_mine,,128000.0,138000.0,138000.0,130000.0,150000.0,168200.0,135000.0,140000.0,145000.0,150000.0
