Country,Activity,Commodity,Sub-commodity,2020
Algeria,production,zinc_mine,,1600.0
Argentina,production,zinc_mine,,8569.0
Armenia,production,zinc_mine,,7758.0
Australia,production,zinc_mine,,1314910.0
Bolivia,production,zinc_mine,,358411.0
Bosnia & Herzegovina,production,zinc_mine,,4849.0
Brazil,production,zinc_mine,,174500.0
Bulgaria,production,zinc_mine,,18000.0
Burkina Faso,production,zinc_mine,,73543.0
Burma,production,zinc_mine,,19000.0
Canada,production,zinc_mine,,371491.0
Chile,production,zinc_mine,,28662.0
China,production,zinc_mine,,3200000.0
Congo,production,zinc_mine,,1.0
"Congo, Democratic Republic",production,zinc_mine,,15305.0
Cuba,production,zinc_mine,,57700.0
Dominican Republic,production,zinc_mine,,2361.0
Eritrea,production,zinc_mine,,121930.0
Finland,production,zinc_mine,,57962.0
Georgia,production,zinc_mine,,2243.0
Greece,production,zinc_mine,,28037.0
Guatemala,production,zinc_mine,,0.0
Honduras,production,zinc_mine,,27000.0
India,production,zinc_mine,,756998.0
Indonesia,production,zinc_mine,,17420.0
Iran,production,zinc_mine,,150000.0
"Ireland, Republic of",production,zinc_mine,,127000.0
Kazakhstan,production,zinc_mine,,335400.0
Korea (Rep. of),production,zinc_mine,,4252.0
"Korea, Dem. P.R. of",production,zinc_mine,,28000.0
Kosovo,production,zinc_mine,,3909.0
Laos,production,zinc_mine,,1200.0
Mexico,production,zinc_mine,,688461.0
Mongolia,production,zinc_mine,,38150.0
Montenegro,production,zinc_mine,,10100.0
Morocco,production,zinc_mine,,38000.0
Namibia,production,zinc_mine,,62333.0
Nigeria,production,zinc_mine,,26900.0
North Macedonia,production,zinc_mine,,31748.0
Pakistan,production,zinc_mine,,17527.0
Peru,production,zinc_mine,,1334570.0
Poland,production,zinc_mine,,39500.0
Portugal,production,zinc_mine,,176849.0
Romania,production,zinc_mine,,100.0
Russia,production,zinc_mine,,280000.0
Saudi Arabia,production,zinc_mine,,19000.0
Serbia,production,zinc_mine,,6500.0
Slovakia,production,zinc_mine,,96.0
South Africa,production,zinc_mine,,160816.0
Spain,production,zinc_mine,,90368.0
Sweden,production,zinc_mine,,234811.0
Tajikistan,production,zinc_mine,,47651.0
Thailand,production,zinc_mine,,0.0
Turkey,production,zinc_mine,,136300.0
USA,production,zinc_mine,,718000.0
Uzbekistan,production,zinc_mine,,41000.0
Vietnam,production,zinc_mine,,12000.0
Zambia,production,zinc_mine,,1500.0
