Country,Activity,Commodity,Sub-commodity,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Algeria,production,zinc_slab,,31000.0,15611.0,8090.0,7000.0,6976.0,7086.0,3101.0,1472.0,2045.0,543.0
Argentina,production,zinc_slab,,42700.0,43500.0,37500.0,37900.0,29100.0,30300.0,,,,
Australia,production,zinc_slab,,498866.0,507316.0,498259.0,498291.0,481573.0,489030.0,464176.0,462095.0,489967.0,435977.0
Belgium,production,zinc_slab,,260000.0,282000.0,250000.0,252000.0,262000.0,260000.0,236000.0,249000.0,275000.0,271200.0
Brazil,production,zinc_slab,,288107.0,284770.0,245526.0,245417.0,246120.0,270715.0,284457.0,245200.0,251000.0,241900.0
Bulgaria,production,zinc_slab,,93800.0,88400.0,73100.0,69600.0,76293.0,75095.0,75811.0,73715.0,75150.0,73512.0
Canada,production,zinc_slab,,691221.0,662151.0,648619.0,651638.0,649217.0,683118.0,691389.0,598438.0,620202.0,653194.0
China,production,zinc_slab,,5208900.0,5212200.0,4881200.0,5279600.0,5806970.0,6115928.0,6195962.0,6143900.0,5607103.0,6236423.0
Finland,production,zinc_slab,,307144.0,307352.0,314742.0,311686.0,302024.0,305717.0,290599.0,284992.0,295029.0,290844.0
France,production,zinc_slab,,163000.0,164000.0,161000.0,152000.0,171000.0,169000.0,149000.0,166000.0,155000.0,150000.0
Germany,production,zinc_slab,,165000.0,170000.0,169000.0,162000.0,168000.0,173000.0,168000.0,174000.0,180000.0,182000.0
India,production,zinc_slab,,740402.0,783647.0,704228.0,767994.0,732792.0,758944.0,672010.0,791461.0,696283.0,688282.0
Iran,production,zinc_slab,,120000.0,132000.0,148000.0,140000.0,145000.0,138000.0,135000.0,140000.0,130000.0,144000.0
Italy,production,zinc_slab,,104700.0,110200.0,97200.0,111000.0,138100.0,140200.0,139500.0,128800.0,131600.0,132900.0
Japan,production,zinc_slab,,574008.0,544674.0,571312.0,587291.0,583021.0,566619.0,533689.0,523919.0,521110.0,526717.0
Kazakhstan,production,zinc_slab,,318858.0,319847.0,319847.0,320150.0,324946.0,323848.0,325820.0,331018.0,317965.0,318399.0
Korea (Rep. of),production,zinc_slab,,750000.0,828735.0,881100.0,886000.0,901000.0,940195.0,1009116.0,961904.0,1008957.0,973000.0
"Korea, Dem. P.R. of",production,zinc_slab,,36000.0,30000.0,32000.0,32000.0,27000.0,15000.0,15000.0,15000.0,15000.0,15000.0
Mexico,production,zinc_slab,,327772.0,322116.0,323569.0,322781.0,320923.0,326642.0,321159.0,327003.0,336378.0,388588.0
Namibia,production,zinc_slab,,151688.0,145639.0,145639.0,128291.0,118665.0,71818.0,90739.0,83768.0,67122.0,64985.0
Netherlands,production,zinc_slab,,264000.0,261000.0,257000.0,275000.0,290000.0,291000.0,283000.0,248000.0,268000.0,240000.0
Norway,production,zinc_slab,,148862.0,153200.0,152647.0,143444.0,165600.0,162878.0,170541.0,172086.0,190570.0,195374.0
Peru,production,zinc_slab,,223112.0,313714.0,319280.0,346400.0,336500.0,335422.0,341518.0,312339.0,333677.0,356925.0
Poland,production,zinc_slab,,135100.0,144100.0,138300.0,146300.0,154000.0,161500.0,161200.0,162247.0,159739.0,159436.0
Russia,production,zinc_slab,,241000.0,249000.0,250000.0,216000.0,223000.0,229600.0,247300.0,256700.0,254600.0,206700.0
South Africa,production,zinc_slab,,90000.0,73000.0,0.0,,,,,,,
Spain,production,zinc_slab,,517100.0,490000.0,483000.0,481000.0,498000.0,498000.0,500000.0,507000.0,511000.0,507900.0
Thailand,production,zinc_slab,,95219.0,98370.0,101263.0,76576.0,65694.0,74121.0,72813.0,30018.0,0.0,0.0
USA,production,zinc_slab,,248700.0,247600.0,261400.0,233100.0,180000.0,172300.0,126000.0,132000.0,116000.0,115000.0
Ukraine,production,zinc_slab,,7600.0,6600.0,7000.0,3900.0,8100.0,700.0,100.0,0.0,0.0,0.0
Uzbekistan,production,zinc_slab,,50000.0,65000.0,61100.0,52000.0,72000.0,55000.0,68000.0,70000.0,70458.0,67844.0
Vietnam,production,zinc_slab,,16000.0,18000.0,18000.0,12000.0,10800.0,10500.0,10800.0,10900.0,10000.0,10000.0
Zambia,production,zinc_slab,,,,,,0.0,,,,,
