Country,Activity,Commodity,Sub-commodity,2020
Algeria,production,zinc_slab,,0.0
Australia,production,zinc_slab,,447250.0
Belgium,production,zinc_slab,,270000.0
Brazil,production,zinc_slab,,247000.0
Bulgaria,production,zinc_slab,,74500.0
Canada,production,zinc_slab,,678558.0
China,production,zinc_slab,,6424876.0
Finland,production,zinc_slab,,297257.0
France,production,zinc_slab,,166000.0
Germany,production,zinc_slab,,175000.0
India,production,zinc_slab,,715445.0
Iran,production,zinc_slab,,135000.0
Italy,production,zinc_slab,,126100.0
Japan,production,zinc_slab,,501146.0
Kazakhstan,production,zinc_slab,,311322.0
Korea (Rep. of),production,zinc_slab,,980000.0
"Korea, Dem. P.R. of",production,zinc_slab,,15000.0
Mexico,production,zinc_slab,,363383.0
Namibia,production,zinc_slab,,16206.0
Netherlands,production,zinc_slab,,250000.0
Norway,production,zinc_slab,,191576.0
Peru,production,zinc_slab,,318619.0
Poland,production,zinc_slab,,160300.0
Russia,production,zinc_slab,,211800.0
Spain,production,zinc_slab,,504100.0
Thailand,production,zinc_slab,,0.0
USA,production,zinc_slab,,180000.0
Ukraine,production,zinc_slab,,0.0
Uzbekistan,production,zinc_slab,,72993.0
Vietnam,production,zinc_slab,,10000.0
